ktestLines MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000003.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000001.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000004.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000002.ktest tests_misc_chcon-fail.sh-out/Dev-out-0/devtest.ktest tests_misc_chcon-fail.sh-out/Dev-out-1/devtest.ktest tests_misc_chcon-fail.sh-out/Dev-out-3/devtest.ktest tests_misc_chcon-fail.sh-out/Dev-out-2/devtest.ktest tests_misc_help-version.sh-out/Dev-out-0/devtest.ktest tests_misc_help-version.sh-out/Dev-out-10/devtest.ktest tests_misc_help-version.sh-out/Dev-out-1/devtest.ktest tests_misc_help-version.sh-out/Dev-out-5/devtest.ktest tests_misc_help-version.sh-out/Dev-out-6/devtest.ktest tests_misc_help-version.sh-out/Dev-out-3/devtest.ktest tests_misc_help-version.sh-out/Dev-out-2/devtest.ktest tests_misc_help-version.sh-out/Dev-out-8/devtest.ktest tests_misc_help-version.sh-out/Dev-out-11/devtest.ktest tests_misc_help-version.sh-out/Dev-out-7/devtest.ktest tests_misc_help-version.sh-out/Dev-out-9/devtest.ktest tests_misc_help-version.sh-out/Dev-out-4/devtest.ktest tests_misc_invalid-opt.pl-out/Dev-out-0/devtest.ktest
src/chcon.c:209 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:445 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:446 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:362 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:364 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:369 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:567 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:562 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:561 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:560 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:475 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:474 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:471 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:470 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:379 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:375 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:573 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:289 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:302 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:282 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:383 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:386 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:540 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:543 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:310 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:312 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:314 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:251 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:415 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:252 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:255 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:412 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:257 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:410 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:419 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:554 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:551 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:253 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:559 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:321 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:320 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:323 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:249 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:256 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:329 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:404 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:406 0 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1
src/chcon.c:402 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:403 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:523 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:488 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:583 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:525 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:486 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:487 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:332 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:333 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:335 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:588 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:433 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:435 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:438 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:530 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:531 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:534 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:536 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:537 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:539 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:586 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:428 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:429 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:424 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:422 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:423 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/chcon.c:347 0 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1
src/chcon.c:345 0 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1
src/chcon.c:508 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
src/chcon.c:341 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:505 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:506 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
src/chcon.c:348 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1
src/chcon.c:214 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:216 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:211 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:213 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:212 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:357 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:299 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:351 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
src/chcon.c:512 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:514 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/chcon.c:389 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
