ktestLines MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000001.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000002.ktest tests_misc_help-version.sh-out/Dev-out-0/devtest.ktest tests_misc_help-version.sh-out/Dev-out-10/devtest.ktest tests_misc_help-version.sh-out/Dev-out-1/devtest.ktest tests_misc_help-version.sh-out/Dev-out-5/devtest.ktest tests_misc_help-version.sh-out/Dev-out-6/devtest.ktest tests_misc_help-version.sh-out/Dev-out-3/devtest.ktest tests_misc_help-version.sh-out/Dev-out-2/devtest.ktest tests_misc_help-version.sh-out/Dev-out-8/devtest.ktest tests_misc_help-version.sh-out/Dev-out-11/devtest.ktest tests_misc_help-version.sh-out/Dev-out-12/devtest.ktest tests_misc_help-version.sh-out/Dev-out-7/devtest.ktest tests_misc_help-version.sh-out/Dev-out-9/devtest.ktest tests_misc_help-version.sh-out/Dev-out-4/devtest.ktest tests_misc_invalid-opt.pl-out/Dev-out-0/devtest.ktest tests_misc_truncate-dangling-symlink.sh-out/Dev-out-0/devtest.ktest tests_misc_truncate-dir-fail.sh-out/Dev-out-0/devtest.ktest tests_misc_truncate-fail-diag.sh-out/Dev-out-0/devtest.ktest tests_misc_truncate-fail-diag.sh-out/Dev-out-1/devtest.ktest tests_misc_truncate-fifo.sh-out/Dev-out-0/devtest.ktest tests_misc_truncate-no-create-missing.sh-out/Dev-out-0/devtest.ktest tests_misc_truncate-overflow.sh-out/Dev-out-0/devtest.ktest tests_misc_truncate-overflow.sh-out/Dev-out-1/devtest.ktest tests_misc_truncate-overflow.sh-out/Dev-out-3/devtest.ktest tests_misc_truncate-overflow.sh-out/Dev-out-2/devtest.ktest tests_misc_truncate-owned-by-other.sh-out/Dev-out-0/devtest.ktest tests_misc_truncate-parameters.sh-out/Dev-out-0/devtest.ktest tests_misc_truncate-parameters.sh-out/Dev-out-10/devtest.ktest tests_misc_truncate-parameters.sh-out/Dev-out-1/devtest.ktest tests_misc_truncate-parameters.sh-out/Dev-out-5/devtest.ktest tests_misc_truncate-parameters.sh-out/Dev-out-6/devtest.ktest tests_misc_truncate-parameters.sh-out/Dev-out-3/devtest.ktest tests_misc_truncate-parameters.sh-out/Dev-out-2/devtest.ktest tests_misc_truncate-parameters.sh-out/Dev-out-8/devtest.ktest tests_misc_truncate-parameters.sh-out/Dev-out-7/devtest.ktest tests_misc_truncate-parameters.sh-out/Dev-out-9/devtest.ktest tests_misc_truncate-parameters.sh-out/Dev-out-4/devtest.ktest tests_misc_truncate-relative.sh-out/Dev-out-0/devtest.ktest tests_misc_truncate-relative.sh-out/Dev-out-1/devtest.ktest tests_misc_truncate-relative.sh-out/Dev-out-3/devtest.ktest tests_misc_truncate-relative.sh-out/Dev-out-2/devtest.ktest
src/truncate.c:92 1 1 1 1 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0
src/truncate.c:93 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0
src/truncate.c:90 1 1 1 1 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0
src/truncate.c:96 0 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/truncate.c:97 0 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
src/truncate.c:239 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
src/truncate.c:138 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0
src/truncate.c:349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
src/truncate.c:132 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0
src/truncate.c:293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
src/truncate.c:347 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
src/truncate.c:340 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
src/truncate.c:292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
src/truncate.c:284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0
src/truncate.c:285 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0
